               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10824,             0.03004,            0.022407,              0.0057,             0.83898,             0.16011,            0.037518,            0.084068,            0.024559,            0.012604,            0.070484,           0.0032796,           0.0032796
                   1,            0.078506,            0.022107,           0.0084472,             0.12228,             0.62712,             0.19047,            0.035193,            0.063387,            0.021498,           0.0058739,            0.040353,            0.006482,            0.006482
                   2,            0.074398,            0.016138,           0.0050764,             0.46319,             0.38983,             0.36977,             0.11573,            0.063299,            0.017561,            0.016753,             0.01009,           0.0095524,           0.0095524
                   3,            0.066349,             0.01397,           0.0051781,             0.81603,             0.73729,             0.78874,             0.26031,            0.054943,            0.015141,           0.0071011,            0.009406,            0.009406,            0.009406
                   4,            0.055874,            0.012564,           0.0034634,             0.69152,             0.77487,             0.82294,             0.32923,            0.049563,            0.013022,           0.0037327,            0.009406,            0.009406,            0.009406
                   5,            0.048587,            0.011382,           0.0032549,             0.93609,                   1,             0.99376,             0.46625,            0.040164,            0.012174,           0.0022894,            0.009208,            0.009208,            0.009208
                   6,            0.044374,            0.010819,           0.0027742,             0.54376,             0.61864,             0.55939,             0.17588,            0.044761,            0.012484,           0.0033068,             0.00901,             0.00901,             0.00901
                   7,            0.040948,            0.010134,           0.0025313,             0.99599,                   1,               0.995,             0.54758,            0.033638,             0.01106,            0.002668,            0.008812,            0.008812,            0.008812
                   8,             0.03886,           0.0095626,           0.0019485,             0.79305,                   1,             0.93497,             0.34833,            0.040085,            0.011012,           0.0023277,            0.008614,            0.008614,            0.008614
                   9,            0.036136,           0.0093474,           0.0020632,             0.99754,                   1,               0.995,             0.54306,             0.03577,             0.01055,           0.0026276,            0.008416,            0.008416,            0.008416
                  10,            0.035995,           0.0091824,           0.0021139,             0.99581,                   1,               0.995,             0.53842,             0.03514,            0.010151,           0.0018869,            0.008218,            0.008218,            0.008218
                  11,            0.033674,           0.0088963,           0.0016598,             0.99793,                   1,               0.995,             0.37859,            0.038151,            0.010098,           0.0019425,             0.00802,             0.00802,             0.00802
                  12,            0.033232,           0.0088479,           0.0021709,             0.99551,                   1,               0.995,              0.5559,            0.033071,           0.0096197,           0.0022053,            0.007822,            0.007822,            0.007822
                  13,            0.032617,           0.0083486,           0.0018748,             0.99804,                   1,               0.995,             0.63124,            0.029653,           0.0095215,           0.0022079,            0.007624,            0.007624,            0.007624
                  14,            0.031342,           0.0083781,           0.0013606,             0.99657,                   1,               0.995,             0.58107,            0.036093,           0.0090847,           0.0020009,            0.007426,            0.007426,            0.007426
                  15,            0.030411,           0.0084747,           0.0012135,             0.99833,                   1,               0.995,             0.58082,            0.029728,           0.0093613,           0.0022573,            0.007228,            0.007228,            0.007228
                  16,            0.029731,           0.0079839,           0.0016027,             0.99808,                   1,               0.995,             0.66603,            0.025232,           0.0090752,           0.0020086,             0.00703,             0.00703,             0.00703
                  17,            0.028773,           0.0082898,           0.0014881,             0.99877,                   1,               0.995,             0.65289,            0.025742,           0.0087795,           0.0014167,            0.006832,            0.006832,            0.006832
                  18,            0.028755,           0.0079317,           0.0020255,             0.99627,                   1,               0.995,             0.58626,            0.028812,            0.008893,           0.0025463,            0.006634,            0.006634,            0.006634
                  19,            0.028251,           0.0080126,            0.001553,             0.99852,                   1,               0.995,             0.68729,            0.024242,           0.0087175,           0.0014763,            0.006436,            0.006436,            0.006436
                  20,            0.027438,           0.0079435,           0.0011563,             0.99846,                   1,               0.995,             0.62961,            0.027078,           0.0087633,           0.0021976,            0.006238,            0.006238,            0.006238
                  21,            0.026501,           0.0079035,            0.001348,             0.99834,                   1,               0.995,             0.60666,            0.026785,           0.0086031,           0.0020011,             0.00604,             0.00604,             0.00604
                  22,            0.025982,           0.0077206,           0.0010778,             0.99828,                   1,               0.995,             0.63265,            0.026586,           0.0083551,           0.0015141,            0.005842,            0.005842,            0.005842
                  23,            0.026517,           0.0075603,           0.0014269,             0.99819,                   1,               0.995,             0.69727,            0.023052,           0.0082197,           0.0021991,            0.005644,            0.005644,            0.005644
                  24,            0.025162,           0.0074889,           0.0017139,              0.9969,                   1,               0.995,             0.66648,            0.024445,           0.0083113,           0.0026594,            0.005446,            0.005446,            0.005446
                  25,            0.025241,           0.0074381,           0.0016205,             0.99746,                   1,               0.995,             0.59162,            0.029527,           0.0081701,           0.0023772,            0.005248,            0.005248,            0.005248
                  26,            0.025248,           0.0073789,          0.00099344,             0.98831,              0.9982,               0.995,              0.7125,            0.023513,           0.0079212,           0.0024879,             0.00505,             0.00505,             0.00505
                  27,            0.024197,            0.007322,           0.0012174,             0.99737,                   1,               0.995,              0.6201,            0.026883,           0.0082417,           0.0020675,            0.004852,            0.004852,            0.004852
                  28,             0.02382,           0.0073595,           0.0015058,             0.99755,                   1,               0.995,             0.73387,            0.022364,           0.0079756,           0.0024935,            0.004654,            0.004654,            0.004654
                  29,            0.023727,           0.0071859,           0.0012051,             0.99817,                   1,               0.995,             0.65926,            0.025448,           0.0079899,           0.0021339,            0.004456,            0.004456,            0.004456
                  30,            0.023095,            0.007114,          0.00088769,             0.96709,             0.99307,               0.995,             0.69158,            0.022857,           0.0079679,           0.0047555,            0.004258,            0.004258,            0.004258
                  31,            0.022641,           0.0072406,           0.0010154,             0.99861,                   1,               0.995,             0.63518,            0.026551,           0.0077963,           0.0019335,             0.00406,             0.00406,             0.00406
                  32,            0.022531,           0.0070632,           0.0014957,              0.9962,                   1,               0.995,             0.74431,            0.020635,           0.0074835,           0.0032676,            0.003862,            0.003862,            0.003862
                  33,            0.021887,            0.007003,            0.001107,             0.99812,                   1,               0.995,             0.72843,            0.022244,           0.0073013,           0.0019485,            0.003664,            0.003664,            0.003664
                  34,            0.022003,           0.0071543,           0.0008084,             0.99854,                   1,               0.995,             0.69046,             0.02477,           0.0075784,           0.0011584,            0.003466,            0.003466,            0.003466
                  35,             0.02125,           0.0068821,          0.00078413,             0.99849,                   1,               0.995,             0.71018,            0.021729,           0.0072217,           0.0015925,            0.003268,            0.003268,            0.003268
                  36,            0.021197,           0.0068387,          0.00084808,             0.99679,                   1,               0.995,               0.722,            0.020312,           0.0071239,           0.0021256,             0.00307,             0.00307,             0.00307
                  37,            0.020482,           0.0069228,          0.00085634,             0.99884,                   1,               0.995,             0.70591,            0.023812,           0.0072203,           0.0014851,            0.002872,            0.002872,            0.002872
                  38,             0.02017,           0.0066309,           0.0010335,             0.99661,                   1,               0.995,             0.68249,            0.024483,           0.0074625,           0.0019312,            0.002674,            0.002674,            0.002674
                  39,            0.020161,           0.0067126,          0.00070484,             0.99377,                   1,               0.995,              0.7074,            0.024539,            0.007062,           0.0020905,            0.002476,            0.002476,            0.002476
                  40,             0.02066,           0.0067161,          0.00059685,             0.99848,                   1,               0.995,             0.68383,            0.023836,           0.0072837,           0.0014126,            0.002278,            0.002278,            0.002278
                  41,            0.019781,           0.0068797,          0.00096615,             0.99499,                   1,               0.995,             0.72303,            0.021426,            0.006968,            0.002093,             0.00208,             0.00208,             0.00208
                  42,            0.019548,           0.0066766,           0.0008386,             0.99557,                   1,               0.995,             0.73541,            0.023002,           0.0070872,           0.0022164,            0.001882,            0.001882,            0.001882
                  43,            0.019077,            0.006458,          0.00060178,             0.99747,                   1,               0.995,              0.7223,            0.021979,           0.0071621,           0.0019857,            0.001684,            0.001684,            0.001684
                  44,             0.01934,           0.0065129,           0.0012356,             0.99747,                   1,               0.995,             0.72736,            0.022208,           0.0069056,           0.0015441,            0.001486,            0.001486,            0.001486
                  45,            0.018574,           0.0065178,          0.00055242,             0.99872,                   1,               0.995,             0.70295,            0.023047,           0.0069685,           0.0012454,            0.001288,            0.001288,            0.001288
                  46,            0.018729,           0.0067129,          0.00075589,             0.98643,                   1,               0.995,             0.72412,            0.021175,           0.0068808,            0.002984,             0.00109,             0.00109,             0.00109
                  47,            0.018623,           0.0068383,          0.00068872,             0.99011,                   1,               0.995,             0.71559,            0.021581,           0.0068398,           0.0025118,            0.000892,            0.000892,            0.000892
                  48,            0.018371,           0.0066923,          0.00047528,              0.9966,                   1,               0.995,             0.71591,            0.021946,           0.0068722,           0.0017025,            0.000694,            0.000694,            0.000694
                  49,             0.01833,           0.0063087,          0.00040331,             0.99157,                   1,               0.995,             0.73387,            0.021061,           0.0067511,           0.0021314,            0.000496,            0.000496,            0.000496
